movie_id,actor_name
1,Tom Hanks
1,Tim Allen
1,Don Rickles
1,Jim Varney
1,Wallace Shawn
2,Robin Williams
2,Kirsten Dunst
2,Bradley Pierce
2,Bonnie Hunt
2,Jonathan Hyde
3,Walter Matthau
3,Jack Lemmon
3,Ann-Margret
3,Sophia Loren
3,Daryl Hannah
4,Whitney Houston
4,Angela Bassett
4,Loretta Devine
4,Lela Rochon
4,Gregory Hines
5,Steve Martin
5,Diane Keaton
5,Martin Short
5,Kimberly Williams-Paisley
5,George Newbern
6,Al Pacino
6,Robert De Niro
6,Val Kilmer
6,Jon Voight
6,Tom Sizemore
7,Harrison Ford
7,Julia Ormond
7,Greg Kinnear
7,Nancy Marchand
7,John Wood
8,Jonathan Taylor Thomas
8,Brad Renfro
8,Eric Schweig
8,Charles Rocket
8,Amy Wright
9,Jean-Claude Van Damme
9,Powers Boothe
9,Raymond J. Barry
9,Whittni Wright
9,Ross Malinger
10,Pierce Brosnan
10,Sean Bean
10,Izabella Scorupco
10,Famke Janssen
10,Joe Don Baker
11,Michael Douglas
11,Annette Bening
11,Martin Sheen
11,Michael J. Fox
11,Anna Deavere Smith
12,Leslie Nielsen
12,Mel Brooks
12,Amy Yasbeck
12,Peter MacNicol
12,Lysette Anthony
13,Kevin Bacon
13,Bob Hoskins
13,Bridget Fonda
13,Jim Cummings
13,Phil Collins
14,Anthony Hopkins
14,Joan Allen
14,Powers Boothe
14,Ed Harris
14,Bob Hoskins
15,Geena Davis
15,Matthew Modine
15,Frank Langella
15,Maury Chaykin
15,Patrick Malahide
16,Robert De Niro
16,Sharon Stone
16,Joe Pesci
16,James Woods
16,Don Rickles
17,Emma Thompson
17,Kate Winslet
17,Alan Rickman
17,Hugh Grant
17,Gemma Jones
18,Tim Roth
18,Jennifer Beals
18,Antonio Banderas
18,Valeria Golino
18,David Proval
19,Jim Carrey
19,Ian McNeice
19,Simon Callow
19,Maynard Eziashi
19,Bob Gunton
20,Wesley Snipes
20,Woody Harrelson
20,Jennifer Lopez
20,Robert Blake
20,Chris Cooper
21,John Travolta
21,Gene Hackman
21,Rene Russo
21,Danny DeVito
21,Dennis Farina
22,Sigourney Weaver
22,Holly Hunter
22,Dermot Mulroney
22,William McNamara
22,Harry Connick Jr.
23,Sylvester Stallone
23,Antonio Banderas
23,Julianne Moore
23,Anatoli Davydov
23,Muse Watson
24,Mary Steenburgen
24,Sean Patrick Flanery
24,Lance Henriksen
24,Jeff Goldblum
24,Brandon Smith
25,Nicolas Cage
25,Elisabeth Shue
25,Julian Sands
25,Richard Lewis
25,Steven Weber
26,Laurence Fishburne
26,Irène Jacob
26,Kenneth Branagh
26,Nathaniel Parker
26,Michael Maloney
27,Christina Ricci
27,Rosie O'Donnell
27,Thora Birch
27,Melanie Griffith
27,Gaby Hoffmann
28,Amanda Root
28,Ciarán Hinds
28,Susan Fleetwood
28,Fiona Shaw
28,John Woodvine
29,Ron Perlman
29,Dominique Pinon
29,Judith Vittet
29,Daniel Emilfork
29,Jean-Claude Dreyfus
30,Gong Li
30,Li Baotian
30,Sun Chun
30,Li Xuejian
30,Liu Jiang
31,Michelle Pfeiffer
31,George Dzundza
31,Courtney B. Vance
31,Robin Bartlett
31,Beatrice Winde
32,Bruce Willis
32,Madeleine Stowe
32,Brad Pitt
32,Christopher Plummer
32,David Morse
34,Christine Cavanaugh
34,Miriam Margolyes
34,Danny Mann
34,Hugo Weaving
34,Miriam Flynn
36,Susan Sarandon
36,Sean Penn
36,Robert Prosky
36,Raymond J. Barry
36,R. Lee Ermey
38,Kirstie Alley
38,Steve Guttenberg
38,Ashley Olsen
38,Mary-Kate Olsen
38,Jane Sibbett
39,Alicia Silverstone
39,Stacey Dash
39,Brittany Murphy
39,Paul Rudd
39,Donald Faison
40,Richard Harris
40,James Earl Jones
40,Charles S. Dutton
40,Vusi Kunene
40,Tsholofelo Wechoemang
41,Ian McKellen
41,Annette Bening
41,Jim Broadbent
41,Robert Downey Jr.
41,Kristin Scott Thomas
42,Larenz Tate
42,Keith David
42,Chris Tucker
42,Freddy Rodríguez
42,Rose Jackson
43,Robert Downey Jr.
43,Meg Ryan
43,Sam Neill
43,David Thewlis
43,Hugh Grant
44,Robin Shou
44,Linden Ashby
44,Bridgette Wilson-Sampras
44,Christopher Lambert
44,Cary-Hiroyuki Tagawa
45,Nicole Kidman
45,Matt Dillon
45,Joaquin Phoenix
45,Casey Affleck
45,Illeana Douglas
46,Winona Ryder
46,Anne Bancroft
46,Ellen Burstyn
46,Kate Nelligan
46,Jean Simmons
47,Morgan Freeman
47,Brad Pitt
47,Gwyneth Paltrow
