movie_id,keywords
1,"rescue,friendship,mission,jealousy,villain,bullying,elementary school,rivalry,anthropomorphism,friends,computer animation,buddy,walkie talkie,toy car,boy next door,new toy,neighborhood,toy comes to life,resourcefulness,история игрушек pixar"
2,"giant insect,board game,disappearance,jungle,recluse,stampede,based on young adult novel,mischievous,amused"
3,"fishing,sequel,old man,best friend,wedding,italian restaurant,old friends,duringcreditsstinger,pranks"
4,"based on novel or book,single mother,divorce,anxious,friendship between women,cautionary,adoring,celebratory,comforting,african american romance,african american friendship"
5,"daughter,baby,parent child relationship,midlife crisis,pregnancy,confidence,aging,sequel,remake,los angeles, california,contraception,gynecologist"
6,"robbery,chase,obsession,detective,heist,thief,honor,murder,betrayal,gang,los angeles, california,cat and mouse,bank robbery,criminal mastermind,ex-con,one last job,loner,bank job,neo-noir,crime epic"
7,"chauffeur,sibling relationship,paris, france,transformation,birthday party,family business ,long island, new york,playboy,teenage crush,millionaire,marriage engagement,high society,merger,impossible love,family disapproval,scheme,wealth differences,wealthy family,father daughter relationship,brother brother relationship,unlikely romance,romantic"
8,"based on novel or book,mississippi river,male friendship"
9,"explosive,hostage,ice hockey,terrorism,vice president,pittsburgh, pennsylvania,pittsburgh penguins"
10,"computer virus,cuba,falsely accused,secret intelligence service,secret identity,secret base,kgb,satellite,special car,cossack,electromagnetic pulse,time bomb,st. petersburg, russia,red army"
11,"new love,usa president,the white house,widower,wildlife conservation"
12,"vampire,satire,spoof,dracula"
13,"wolf,pet,dog-sledding race,alaska,dog,goose,bear attack,dog sled,pets"
14,"usa president,washington dc, usa,government,presidential election,1970s,watergate scandal,biography,historical figure,richard nixon,1960s"
15,"ship,treasure,exotic island,island,map,scalp,treasure map,sword fight,betrayal,pirate,heroine,swashbuckler,adventurer,pirate ship,17th century"
16,"drug abuse,casino,based on novel or book,poker,italian american,gambling,1970s,fbi,pimp,greed,cocaine,overdose,car bomb,rise and fall,money,murder,organized crime,mafia,jewish american,las vegas,desert,aggressive,1980s,dramatic,suspenseful,frightened,brutal violence,fbi surveillance"
17,"secret love,london, england,countryside,based on novel or book,widow,military officer,servant,country life,pneumonia,inheritance,period drama,rainstorm,decorum,horse carriage,young love,dowry,19th century,penniless,social elite,bloodletting,free spirited,sussex,1800s,sisters love,social classes,marry for money,secret engagement,devonshire, england"
18,"hotel,new year's eve,witch,bet,sperm,hotel room,anthology,los angeles, california,hoodlum,multiple storylines,woman director"
19,"kidnapping,africa,indigenous,human animal relationship,bat,stupidity,slapstick comedy,animals,pets"
20,"new york city,sibling relationship,subway,new york subway,train robbery"
21,"based on novel or book,miami, florida,gambling,gangster,money,murder,travel,mobster,mafia,business,debt,hollywood,drugs,producer,con"
22,"police brutality,psychology,police operation,police protection,psychologist,serial killer,cowardliness"
23,"rescue,central intelligence agency (cia),hitman,cat,bank,mexican standoff,seattle, washington,mission of murder,hidden camera,rivalry,shootout,police chase,sniper rifle,detroit, michigan,silencer,double cross,caribbean sea"
24,"teenage boy,held at gunpoint,teacher student relationship,albino,fainting,christ allegory,psionic power,healing power,flickering light,extrasensory perception,pale"
25,"hotel room,dying and death,individual,prostitute,lovesickness,rage and hate,casino,unsociability,alcohol,love at first sight,movie business,screenwriter,alcoholism,los angeles, california,las vegas,alcohol abuse"
26,"jealousy,based on play or musical,friends,shakespeare's othello,the moors (people),shakespeare"
27,"1970s,female friendship,coming of age,gynecologist,photocopier,truth or dare,woman director"
28,"captain,based on novel or book,napoleonic wars,old flame,admiral"
29,"rescue,friendship,island,dreams,clone,dystopia,eye,aging,steampunk,childhood,child kidnapping,flea"
30,"shanghai, china,chinese mafia,coming of age,mistress,criminal underworld,drug lord,triad,modern china,nightclub singer,1930s,cabaret singer,chinese triad"
31,"high school,california,rap music,karate,naval officer,teacher,based on memoir or autobiography,amusement park,schoolteacher"
